ID,Supported,Absent,Opposed,Description,Picture,First,Last,Party,District,City,Email,Phone,Chamber,Score,X,Y,Grade,Normalized
22,45,0,55,Simone Champagne R49-Jeanerette,http://house.louisiana.gov/H_Reps/RepPics09/rep49.jpg,Simone,Champagne,R,49,Jeanerette,champagnes@legis.la.gov,337-937-8827,Representative,45,355,595,F,-1.08
60,48,9,42,Sam Jones D50-Franklin,http://house.louisiana.gov/H_Reps/RepPics09/rep50.jpg,Sam,Jones,D,50,Franklin,joness@legis.la.gov,337-828-7778,Representative,53,445,613,F,-0.6
42,52,6,42,Joe Harrison R51-Gray,http://house.louisiana.gov/H_Reps/RepPics09/rep51.jpg,Joe,Harrison,R,51,Gray,harrisoj@legis.la.gov,800-935-2081,Representative,55,556,650,F,-0.51
29,45,0,55,Gordon Dove R52-Houma,http://house.louisiana.gov/H_Reps/RepPics09/rep52.jpg,Gordon,Dove,R,52,Houma,larep052@legis.la.gov,985-876-8823,Representative,45,582,624,F,-1.08
101,45,0,55,Lenar Whitney R53-Houma,http://house.louisiana.gov/H_Reps/RepPics09/rep53.jpg,Lenar,Whitney,R,53,Houma,whitneyl@legis.la.gov,985-858-2970,Representative,45,628,683,F,-1.08
37,58,0,42,Jerry Gisclair D54-Larose,http://house.louisiana.gov/H_Reps/RepPics09/rep54.jpg,Jerry,Gisclair,D,54,Larose,gisclairj@legis.la.gov,985-798-7707,Representative,58,695,652,F,-0.32
86,52,6,42,Dee Richard I55-Thibodaux,http://house.louisiana.gov/H_Reps/RepPics09/rep55.jpg,Dee,Richard,I,55,Thibodaux,richardj@legis.la.gov,985-447-0999,Representative,55,604,579,F,-0.51
71,52,0,48,Gregory Miller R56-Norco,http://house.louisiana.gov/H_Reps/RepPics09/rep56.jpg,Gregory,Miller,R,56,Norco,millerg@legis.la.gov,985-764-9991,Representative,52,658,534,F,-0.7
34,58,30,12,Randal Gaines D57-LaPlace,http://house.louisiana.gov/H_Reps/RepPics09/rep57.jpg,Randal,Gaines,D,57,LaPlace,gainesr@legis.la.gov,985-652-1228,Representative,83,620,550,B,0.63
62,73,9,18,Eddie Lambert R59-Prarieville,http://house.louisiana.gov/H_Reps/RepPics09/rep59.jpg,Eddie,Lambert,R,59,Prarieville,larep059@legis.la.gov,225-673-5048,Representative,80,590,554,B,0.92
95,45,36,18,Karen G. St. Germain D60-Plaquemine,http://house.louisiana.gov/H_Reps/RepPics09/rep60.jpg,Karen G.,St. Germain,D,60,Plaquemine,larep060@legis.la.gov,225-687-2410,Representative,71,553,494,C,0.06
102,76,6,18,Alfred Williams D61-Baton Rouge,http://house.louisiana.gov/H_Reps/RepPics09/rep61.jpg,Alfred,Williams,D,61,Baton Rouge,williamsa@legis.la.gov,225-382-3243,Representative,81,500,524,B,1.01
43,45,0,55,Kenny Havard R62-Jackson,http://house.louisiana.gov/H_Reps/RepPics09/rep62.jpg,Kenny,Havard,R,62,Jackson,havardk@legis.la.gov,225-634-7470,Representative,45,525,462,F,-1.08
51,58,0,42,Dalton Honore D63-Baton Rouge,http://house.louisiana.gov/H_Reps/RepPics09/rep63.jpg,Dalton,Honore,D,63,Baton Rouge,honored@legis.la.gov,225-771-5674,Representative,58,488,404,F,-0.32
48,45,0,55,Valerie Hodges R64-Denham Springs,http://house.louisiana.gov/H_Reps/RepPics09/rep64.jpg,Valerie,Hodges,R,64,Denham Springs,hodgesv@legis.la.gov,225-791-2199,Representative,45,513,442,F,-1.08
55,45,6,48,Barry Ivey R65-Baton Rouge,http://house.louisiana.gov/H_Reps/RepPics09/rep65.jpg,Barry,Ivey,R,65,Baton Rouge,iveyb@legis.la.gov,225-261-5739,Representative,48,550,430,F,-0.89
38,58,42,0,Hunter Greene R66-Baton Rouge,http://house.louisiana.gov/H_Reps/RepPics09/rep66.jpg,Hunter,Greene,R,66,Baton Rouge,larep066@legis.la.gov,225-362-5900,Representative,100,546,453,A,1.01
94,76,12,12,Pat Smith D67-Baton Rouge,http://house.louisiana.gov/H_Reps/RepPics09/rep67.jpg,Pat,Smith,D,67,Baton Rouge,smithp@legis.la.gov,225-342-7106,Representative,86,547,480,B,1.2
21,45,0,55,Steve Carter R68-Baton Rouge,http://house.louisiana.gov/H_Reps/RepPics09/rep68.jpg,Steve,Carter,R,68,Baton Rouge,carters@legis.la.gov,225-362-5305,Representative,45,513,477,F,-1.08
80,52,6,42,Erich Ponti R69-Baton Rouge,http://house.louisiana.gov/H_Reps/RepPics09/rep69.jpg,Erich,Ponti,R,69,Baton Rouge,pontie@legis.la.gov,225-362-5301,Representative,55,529,471,F,-0.51
32,70,0,30,Franklin Foil R70-Baton Rouge,http://house.louisiana.gov/H_Reps/RepPics09/rep70.jpg,Franklin,Foil,R,70,Baton Rouge,foilf@legis.la.gov,225-342-6777,Representative,70,536,468,C,0.44
81,45,0,55,Rogers Pope R71-Denham Springs,http://house.louisiana.gov/H_Reps/RepPics09/rep71.jpg,Rogers,Pope,R,71,Denham Springs,poper@legis.la.gov,225-667-3588,Representative,45,524,479,F,-1.08
30,94,0,6,John Bel Edwards D72-Amite,http://house.louisiana.gov/H_Reps/RepPics09/rep72.jpg,John,Bel,D,72,Amite,edwardsj@legis.la.gov,985-748-2245,Representative,94,561,461,A,1.96
83,39,6,55,Steve Pugh R73-Pontchatoula,http://house.louisiana.gov/H_Reps/RepPics09/rep73.jpg,Steve,Pugh,R,73,Pontchatoula,pughs@legis.la.gov,985-386-7844,Representative,42,607,410,F,-1.27
93,21,24,55,Scott Simon R74-Abita Springs,http://house.louisiana.gov/H_Reps/RepPics09/rep74.jpg,Scott,Simon,R,74,Abita Springs,simons@legis.la.gov,985-893-6246,Representative,28,663,474,F,-1.84
87,94,0,6,Harold Ritchie D75-Bogalusa,http://house.louisiana.gov/H_Reps/RepPics09/rep75.jpg,Harold,Ritchie,D,75,Bogalusa,larep075@legis.la.gov,985-730-2147,Representative,94,698,421,A,1.96
78,76,6,18,Kevin Pearson R76-Slidell,http://house.louisiana.gov/H_Reps/RepPics09/rep76.jpg,Kevin,Pearson,R,76,Slidell,pearsonk@legis.la.gov,985-646-6487,Representative,81,733,406,B,1.01
90,45,6,48,John Schroder R77-Covington,http://house.louisiana.gov/H_Reps/RepPics09/rep77.jpg,John,Schroder,R,77,Covington,schrodej@legis.la.gov,985-893-6262,Representative,48,782,500,F,-0.89
82,64,0,36,Edward Price D78-Gonzales,http://house.louisiana.gov/H_Reps/RepPics09/rep78.jpg,Edward,Price,D,78,Gonzales,pricee@legis.la.gov,225-644-6738,Representative,64,695,457,D,0.06
97,39,24,36,Kirk Talbot R78-River Ridge,http://house.louisiana.gov/H_Reps/RepPics09/rep78.jpg,Kirk,Talbot,R,78,River Ridge,talbotk@legis.la.gov,504-736-7299,Representative,52,689,554,F,-0.7
96,45,6,48,Julie Stokes R79-Metairie,http://house.louisiana.gov/H_Reps/RepPics09/rep79.jpg,Julie,Stokes,R,79,Metairie,stokesj@legis.la.gov,504-468-8603,Representative,48,683,540,F,-0.89
68,52,12,36,Joseph Lopinto R80-Metairie,http://house.louisiana.gov/H_Reps/RepPics09/rep80.jpg,Joseph,Lopinto,R,80,Metairie,lopintoj@legis.la.gov,504-838-5430,Representative,59,698,548,F,-0.32
89,45,0,55,"Clay Schexnayder R81-Livinston, Ascension",http://house.louisiana.gov/H_Reps/RepPics09/rep81.jpg,Clay,Schexnayder,R,81,"Livinston, Ascension",schexnayderc@legis.la.gov,225-473-6016,Representative,45,611,500,F,-1.08
45,39,6,55,Cameron Henry R82-NOLA,http://house.louisiana.gov/H_Reps/RepPics09/rep82.jpg,Cameron,Henry,R,82,NOLA,henryc@legis.la.gov,504-838-5433,Representative,42,697,554,F,-1.27
10,52,0,48,Robert Billiot D83-Westwego,http://house.louisiana.gov/H_Reps/RepPics09/rep83.jpg,Robert,Billiot,D,83,Westwego,billiotr@legis.la.gov,504-436-8929,Representative,52,691,565,F,-0.7
24,82,12,6,Patrick Connick R84-Marrero,http://house.louisiana.gov/H_Reps/RepPics09/rep84.jpg,Patrick,Connick,R,84,Marrero,connickp@legis.la.gov,504-371-0240,Representative,93,716,622,A,1.58
2,45,6,48,Bryan Adams R85-Gretna,http://house.louisiana.gov/H_Reps/RepPics09/rep85.jpg,Bryan,Adams,R,85,Gretna,adamsb@legis.la.gov,504-361-6013,Representative,48,720,562,F,-0.89
13,52,6,42,Chris Broadwater R86-Hammond,http://house.louisiana.gov/H_Reps/RepPics09/rep86.jpg,Chris,Broadwater,R,86,Hammond,broadwaterc@legis.la.gov,985-543-4900,Representative,55,670,443,F,-0.51
105,76,6,18,Ebony Woodruff D87-Harvey,http://house.louisiana.gov/H_Reps/RepPics09/rep87.jpg,Ebony,Woodruff,D,87,Harvey,woodruffe@legis.la.gov,504-361-6972,Representative,81,718,572,B,1.01
9,45,0,55,Johnny Berthelot R88-Gonzales,http://house.louisiana.gov/H_Reps/RepPics09/rep88.jpg,Johnny,Berthelot,R,88,Gonzales,berthelotj@legis.la.gov,225-647-5646,Representative,45,571,497,F,-1.08
18,45,6,48,Tim Burns R89-Mandeville,http://house.louisiana.gov/H_Reps/RepPics09/rep89.jpg,Tim,Burns,R,89,Mandeville,larep089@legis.la.gov,985-624-4492,Representative,48,0,0,F,-0.89
26,33,30,36,Greg Cromer R90-Slidell-Pearl River,http://house.louisiana.gov/H_Reps/RepPics09/rep90.jpg,Greg,Cromer,R,90,Slidell-Pearl River,cromerg@legis.la.gov,985-645-3592,Representative,48,0,0,F,-0.89
66,82,6,12,"Walt Leger, III D91-NOLA",http://house.louisiana.gov/H_Reps/RepPics09/rep91.jpg,Walt,"Leger,",D,91,NOLA,legerw@legis.la.gov,504-556-9970,Representative,87,709,554,B,1.39
104,82,6,12,Tom Willmott R92-Kenner,http://house.louisiana.gov/H_Reps/RepPics09/rep92.jpg,Tom,Willmott,R,92,Kenner,willmott@legis.la.gov ,504-465-3479,Representative,87,679,546,B,1.39
73,70,12,18,Helena Moreno D93-NOLA,http://house.louisiana.gov/H_Reps/RepPics09/rep93.jpg,Helena,Moreno,D,93,NOLA,morenoh@legis.la.gov,504-568-2740,Representative,79,718,558,C,0.82
69,45,0,55,Nick Lorusso R94-NOLA,http://house.louisiana.gov/H_Reps/RepPics09/rep94.jpg,Nick,Lorusso,R,94,NOLA,larep094@legis.la.gov,504-483-4711,Representative,45,709,545,F,-1.08
70,45,0,55,Sherman Mack R95-Livingston,http://house.louisiana.gov/H_Reps/RepPics09/rep95.jpg,Sherman,Mack,R,95,Livingston,macks@legis.la.gov,225-686-3887,Representative,45,604,446,F,-1.08
64,82,6,12,Terry Landry D96-New Iberia,http://house.louisiana.gov/H_Reps/RepPics09/rep96.jpg,Terry,Landry,D,96,New Iberia,landryt@legis.la.gov,337-373-9380,Representative,87,382,510,B,1.39
14,-,-,-,Jared Brossett - Resigned 97-NOLA,http://house.louisiana.gov/H_Reps/RepPics09/rep97.jpg,Jared,Brossett,-,97,NOLA,-,-,Representative,50,718,543,N/A,-
1,33,55,12,Neil Abramson D98-NOLA,http://house.louisiana.gov/H_Reps/RepPics09/rep98.jpg,Neil,Abramson,D,98,NOLA,abramson@legis.la.gov,504-275-8051,Representative,73,707,559,C,-0.13
12,70,18,12,Wesley Bishop D99-NOLA,http://house.louisiana.gov/H_Reps/RepPics09/rep99.jpg,Wesley,Bishop,D,99,NOLA,bishopw@legis.la.gov,504-242-4198,Representative,85,725,546,B,1.01
6,82,0,18,Austin Badon D100-NOLA,http://house.louisiana.gov/H_Reps/RepPics09/rep100.jpg,Austin,Badon,D,100,NOLA,larep100@legis.la.gov,504-243-7783,Representative,82,736,537,B,1.2
57,76,6,18,Ted James D101-Baton Rouge,http://house.louisiana.gov/H_Reps/RepPics09/rep101.jpg,Ted,James,D,101,Baton Rouge,james.ted@legis.la.gov,225-925-4859,Representative,81,536,457,B,1.01
5,58,6,36,Jeff Arnold D102-Algiers,http://house.louisiana.gov/H_Reps/RepPics09/rep102.jpg,Jeff,Arnold,D,102,Algiers,larep102@legis.la.gov,504-361-6600,Representative,61,728,560,D,-0.13
35,39,6,55,Ray Garofalo R103-Chalmette,http://house.louisiana.gov/H_Reps/RepPics09/rep103.jpg,Ray,Garofalo,R,103,Chalmette,garofalor@legis.la.gov,504-277-4729,Representative,42,835,593,F,-1.27
50,39,30,30,Paul Hollis R104-Lacombe/Big Branch,http://house.louisiana.gov/H_Reps/RepPics09/rep104.jpg,Paul,Hollis,R,104,Lacombe/Big Branch,hollisp@legis.la.gov,985-871-4680,Representative,57,743,488,F,-0.51
67,45,0,55,Chris Leopold R105-Belle Chase,http://house.louisiana.gov/H_Reps/RepPics09/rep105.jpg,Chris,Leopold,R,105,Belle Chase,leopoldc@legis.la.gov,504-393-5649,Representative,45,767,667,F,-1.08
